year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2018,1,4,ALL_CA,CA,2,1,2,1
2018,1,4,ALL_US,US,30362000,11008427,12498388,8308765
2018,1,4,ak,US,43479,17537,18230,13177
2018,1,4,al,US,599250,209473,254436,161173
2018,1,4,ar,US,333383,114259,138448,86374
2018,1,4,as,US,60,38,50,36
2018,1,4,az,US,618764,212348,239379,158103
2018,1,4,ca,US,3848139,1244779,1363048,917493
2018,1,4,co,US,545303,184573,195980,130322
2018,1,4,ct,US,139128,90139,89615,72332
2018,1,4,dc,US,151807,62974,38418,26442
2018,1,4,de,US,48611,28073,28169,21703
2018,1,4,fl,US,2921850,959155,995292,641198
2018,1,4,ga,US,1205644,401118,481299,300879
2018,1,4,gu,US,5302,2235,2757,1756
2018,1,4,hi,US,146131,44057,40707,27785
2018,1,4,ia,US,300601,113161,134656,85914
2018,1,4,id,US,128115,47353,55088,36217
2018,1,4,il,US,1144535,421965,473496,311263
2018,1,4,in,US,584648,217996,257789,164904
2018,1,4,ks,US,334837,120965,145163,90550
2018,1,4,ky,US,400296,151366,175994,113156
2018,1,4,la,US,515677,180750,209085,133680
2018,1,4,ma,US,273052,167576,159018,126604
2018,1,4,md,US,480328,210659,214956,151593
2018,1,4,me,US,56413,31541,35650,26165
2018,1,4,mi,US,881860,329318,398643,256444
2018,1,4,mn,US,478421,168521,196644,125257
2018,1,4,mo,US,637167,226207,267065,168349
2018,1,4,mp,US,562,339,555,338
2018,1,4,ms,US,297986,105406,125038,79038
2018,1,4,mt,US,75118,27351,30547,20288
2018,1,4,nc,US,881009,361548,426386,285341
2018,1,4,nd,US,71067,26778,30061,19391
2018,1,4,ne,US,205035,76050,90415,57607
2018,1,4,nh,US,65553,35627,39150,28871
2018,1,4,nj,US,484113,287919,289754,225844
2018,1,4,nm,US,137685,54266,56034,37930
2018,1,4,nv,US,365078,114400,110988,76793
2018,1,4,ny,US,1240098,612140,593206,437751
2018,1,4,oh,US,1058756,395074,473911,303310
2018,1,4,ok,US,515688,181205,211991,134404
2018,1,4,or,US,333742,118852,130349,89353
2018,1,4,pa,US,872508,384727,418166,288790
2018,1,4,pr,US,87198,36880,39944,26406
2018,1,4,qc,CA,2,1,2,1
2018,1,4,ri,US,41063,27551,26307,21422
2018,1,4,sc,US,416203,169144,200676,131060
2018,1,4,sd,US,70667,25635,29724,18965
2018,1,4,tn,US,688567,244668,283903,182031
2018,1,4,tx,US,3374049,1116067,1302431,834806
2018,1,4,ut,US,285514,93058,112857,70068
2018,1,4,va,US,614529,273391,292851,205562
2018,1,4,vi,US,475,285,0,0
2018,1,4,vt,US,38515,16062,17379,11578
2018,1,4,wa,US,634379,228479,246651,169329
2018,1,4,wi,US,506711,195576,227695,148268
2018,1,4,wv,US,134859,58927,65106,44093
2018,1,4,wy,US,42472,16126,17238,11259
2018,1,5,ALL,"",33602996,11280428,12953675,8470923
2018,1,5,ALL_CA,CA,1,1,1,1
2018,1,5,ALL_US,US,33602995,11280427,12953674,8470922
